date,temperaturemin,temperaturemax,precipitation,snow,snwd,awnd
6/7/17,59,77,0,0,0,10.29
6/19/17,70,92,0.09,0,0,11.86
9/7/17,53,76,0,0,0,2.91
9/26/17,69,85,0,0,0,7.61
10/1/17,48,71,0,0,0,7.16
10/16/17,51,69,0.25,0,0,5.82
10/22/17,51,79,0,0,0,3.13
11/1/17,46,73,0,0,0,4.25
11/7/17,44,63,0.1,0,0,6.49
12/13/17,21,43,0,0,0,8.72
1/5/18,12,31,0,0,0,5.59
1/18/18,10,34,0,0.2,5.9,5.59
3/19/18,44,65,0,0,0,5.59
3/28/18,43,76,0,0,0,10.74
4/7/18,33,62,0.99,0,0,8.05
5/16/18,68,85,0.76,0,0,6.71
5/31/18,71,88,0,0,0,7.16
6/22/18,71,95,0,0,0,6.04
8/5/18,72,93,0,0,0,3.36
10/6/18,68,82,0,0,0,3.58
